"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Boynton","MI","Detroit","Wayne","Detroit",1673,40300,-0.00738916256157635,-0.00493827160493827,0.041343669250646,-0.0478627341270971,-0.0416988965777189,3738,"2007-01","2007-Q1",69800,-0.422636103151862,,"2011-08","2011-Q3",31500,-0.548710601719198
2014-02-28,"Sunbeam","FL","Jacksonville","Duval","Jacksonville",1674,151000,0.00332225913621262,0.0147849462365591,0.14567526555387,-0.0115120194071494,0.00588121059272795,2151,"2006-12","2006-Q4",201900,-0.252105002476473,"2004-08","2011-11","2011-Q4",126200,-0.374938088162457
2014-02-28,"Piedmont","OR","Portland","Multnomah","Portland",1675,296700,0.00918367346938776,0.0238095238095238,0.156274356975838,0.0283467221002136,0.0559137370315692,2415,"2014-02","2014-Q1",296700,0,"2014-02",,,,
2014-02-28,"North College Park","WA","Seattle","King","Seattle",1676,366000,0.00273972602739726,0.0116086235489221,0.0938433950986252,0.0224779620193221,0.0323120383076037,1811,"2007-02","2007-Q1",379300,-0.0350645926707092,"2006-07","2011-09","2011-Q3",287900,-0.240970208278408
2014-02-28,"Havenscourt","CA","San Francisco","Alameda","Oakland",1677,220200,0.0222841225626741,0.0525812619502868,0.262614678899083,-0.0125892266457291,-0.027593881083261,1527,"2007-02","2007-Q1",450800,-0.51153504880213,"2002-05","2011-10","2011-Q4",141400,-0.686335403726708
2014-02-28,"Wheeless Road","GA","Augusta","Richmond","Augusta",1678,46100,-0.00431965442764579,-0.0170575692963753,-0.0724346076458753,-0.0596561751953629,-0.0269776183209178,2421,"2007-08","2007-Q3",69400,-0.335734870317003,"1997-07","2013-08","2013-Q3",45500,-0.344380403458213
2014-02-28,"Old North Columbus","OH","Columbus","Franklin","Columbus",1679,125000,0.0016025641025641,0.00240577385725742,-0.00950871632329636,0.00920905204384304,0.0134195290869401,954,"2006-09","2006-Q3",128300,-0.0257209664848012,"2006-03","2012-02","2012-Q1",113100,-0.118472330475448
2014-02-28,"Tampa Heights","FL","Tampa","Hillsborough","Tampa",1680,103000,0.0198019801980198,0.0629514963880289,0.279503105590062,-0.0384381358509753,-0.00445211939544465,1420,"2006-10","2006-Q4",187800,-0.451544195953142,"2003-12","2012-01","2012-Q1",66700,-0.644834930777423
2014-02-28,"North Sharon Amity","NC","Charlotte","Mecklenburg","Charlotte",1681,93200,0.00865800865800866,0.0275633958103638,0.131067961165049,-0.0194165489571376,-0.0053134638919381,1854,"2008-02","2008-Q1",111800,-0.166368515205725,"1999-07","2012-01","2012-Q1",80000,-0.284436493738819
2014-02-28,"Comstock","WA","Spokane","Spokane","Spokane",1682,170700,0.00470865214832254,0.0124555160142349,0.00530035335689046,-0.0200581334671136,0.024044539481668,2763,"2007-04","2007-Q2",205100,-0.167723061921014,"2005-09","2011-11","2011-Q4",162600,-0.207215992198927
2014-02-28,"High Point","WA","Seattle","King","Seattle",1683,306300,0.00525106662290778,0.0189620758483034,0.162428842504744,-0.000586625354982662,0.026025592369491,1659,"2007-09","2007-Q3",359900,-0.148930258405113,"2006-01","2012-04","2012-Q2",238700,-0.336760211169769
2014-02-28,"Bay Terrace","NY","New York","Richmond","New York",1684,382700,0.00472564977684432,0.0218958611481976,0.0630555555555556,-0.00382301840270038,0.0141604762346794,1373,"2006-10","2006-Q4",437000,-0.124256292906178,"2005-03","2013-03","2013-Q1",358900,-0.178718535469108
2014-02-28,"North Avondale","OH","Cincinnati","Hamilton","Cincinnati",1685,140900,-0.000709219858156028,-0.0105337078651685,0.0239825581395349,-0.00155411884396095,-0.00395788390420437,1190,"2007-08","2007-Q3",161500,-0.127554179566563,"2002-02","2011-11","2011-Q4",127100,-0.213003095975232
2014-02-28,"Oceanview","CA","San Francisco","San Francisco","San Francisco",1686,602100,0.0119327731092437,0.0295827633378933,0.176436107854631,0.0303480969600423,0.0077438728251793,1462,"2007-05","2007-Q2",704300,-0.14510861848644,"2004-05","2011-11","2011-Q4",433200,-0.384921198352975
2014-02-28,"North Indian Trail","WA","Spokane","Spokane","Spokane",1687,208200,0.00337349397590361,0.00482625482625483,0.0230958230958231,-0.0210772218957487,0.0185168453768443,2397,"2007-05","2007-Q2",258500,-0.19458413926499,"2005-07","2012-04","2012-Q2",199800,-0.227079303675048
